Product_URL,Product_Name,Category,Rating,Description,Selling_Price,MRP,Discount_Percent,Available_Sizes,Available_Colors,Brand,Stock_Status,Gender
https://www.decathlon.in/p/8319097/men-waterproof-trekking-shoes-mid-ankle-with-cross-contact-grip-grey-mt100,Men Waterproof Trekking Shoes Mid Ankle with Cross-Contact Grip Grey - MT100,SPORTS FOOTWEAR > Shoes > Waterproof Shoes,4.2,"Waterproof mid-ankle trekking shoes designed for hiking and outdoor trails, offering strong grip, durable construction, and comfortable cushioning for all-weather use.","6,999","8,399",17,None,None,FORCLAZ,PRODUCT DISCONTINUED,Male
https://www.decathlon.in/p/8351755/men-running-shoes-everyday-shoes-with-cushioning-ekiden-one-grey,"Men Running Shoes Everyday Shoes with Cushioning, Ekiden One - Grey",SPORTS FOOTWEAR > Shoes > Gym Shoes,4.5,"Your versatile everyday shoe: fitness, walking, jogging. Comfortable and lightweight, it is ideal for all your sports adventures.",999,1199,17,"5.5, 6.5, 7, 8, 8.5, 9.5, 10.5, 11, 12, 12.5",Blue,DECATHLON,IN-STOCK,Male
https://www.decathlon.in/p/8367617/men-s-warm-and-waterproof-hiking-boots-nh100-high-black,"Men’s warm and waterproof hiking boots, NH100 High - Black",SPORTS FOOTWEAR > Shoes > Hiking Shoes,4.5,Grip with SNOWCONTACT technology: materials and tread pattern of the soles,3499,5499,36,None,None,QUECHUA,OUT-OF-STOCK,Male
https://www.decathlon.in/p/8381475/men-running-shoes-comfort-fit-upto-10km-week-run-active-slate-grey,"Men Running Shoes Comfort Fit, Upto 10km/week, Run Active - Slate Grey",SPORTS FOOTWEAR > Shoes > Running Shoes,4.5,These lightweight basic men's running shoes provide good cushioning and are comfortable for running up to 10 km per week.,1699,2999,43,"5.5(1 Left), 6.5, 7, 8,8.5,9.5,10.5,11",Slate Grey,KALENJI,IN-STOCK,Male
https://www.decathlon.in/p/8486177/men-walking-shoes-with-breathable-mesh-cushioning-pw-100-grey,"Men Walking Shoes with Breathable Mesh, Cushioning, PW 100 - Grey",SPORTS FOOTWEAR > Shoes > Walking Shoes,4.5,This is an Occasional walking shoe which we advise using 1-2 times a week. Not to be used with any other sports. This shoe is designed only for walking.,699,999,30,7,Grey,DECATHLON,IN-STOCK,Male
https://www.decathlon.in/p/8502616/men-s-warm-and-waterproof-hiking-boots-sh500-mountain-mid,Men’s Warm and Waterproof Hiking Boots - SH500 mountain MID,SPORTS FOOTWEAR >Shoes > Hiking Shoes,4.6,Warm and waterproof hiking shoe with good grip in the mountains in winter,4999,7499,33,None,None,QUECHUA,OUT-OF-STOCK,Male
https://www.decathlon.in/p/8502824/men-walking-shoes-with-breathable-mesh-cushioning-pw-100-black,"Men Walking Shoes with Breathable Mesh, Cushioning, PW 100 - Black",SPORTS FOOTWEAR > Shoes > Walking Shoes,4.5,"Men Walking Shoes with Breathable Mesh, Cushioning, PW 100 - Black",699,699,0,"5.5, 6.5, 7, 11",Black,DECATHLON,IN-STOCK,Male
https://www.decathlon.in/p/8503792/men-low-ankle-waterproof-hiking-shoes-with-non-slip-outsole-blue-mh100,Men Low Ankle Waterproof Hiking Shoes with Non-Slip Outsole Blue - MH100,SPORTS FOOTWEAR > Shoes > Hiking Shoes,4.6,Waterproof and breathable membrane lining: your feet dry for 3h in all weather,3999,5999,33,None,Blue,QUECHUA,PRODUCT DISCONTINUED,Male
https://www.decathlon.in/p/8503796/men-low-ankle-waterproof-hiking-shoes-with-non-slip-outsole-grey-mh100,Men Low Ankle Waterproof Hiking Shoes with Non-Slip Outsole Grey - MH100,SPORTS FOOTWEAR > Shoes > Hiking Shoes,4.6, Waterproof and breathable membrane lining: your feet dry for 3h in all weather,3999,5999,33,"5.5, 6.5, 7, 8, 8.5, 9.5, 10.5, 11, 12",Grey,QUECHUA,IN-STOCK,Male
https://www.decathlon.in/p/8544960/men-warm-waterproof-hiking-boots-nh500-mid-brown,"Men warm, waterproof hiking boots, NH500 Mid - Brown",SPORTS FOOTWEAR > Shoes > Hiking Shoes,4.8,"Our team of hiking enthusiasts designed these warm and waterproof trainers for your daily winter outings. They combine comfort, grip and style",3999,5999,33,None,None,QUECHUA,PRODUCT DISCONTINUED,Male
